IdMachine;Machine;Nom Appli;Nom long Appli;Type Machine;OS;Distribution;Environnement;Envt Déduit;Niveau de Service;Cpu;Ram (Go);Disque (Go);Cpu Pond.;Ram Pond. (Go);Disque Pond. (Go);Cpu+Ram/4;Heures Cpu;Code Domaine MDC;Libellé Domaine MDC;Statut
13556;SLD02896;RGCUCOEUR;RGCU Cœur (RGCUCOEUR);VM;LINUX;Redhat_7.3;Hors Prod;DEV;ARGENT;0.50;6.00;77.50;0.50;6.00;77.50;2.00;;RGCU_OPERATEUR;RGCU opérateur;Actif
13556;SLD02896;RGCUNIDF1;RGCU Assurés Non identifiés F1 (RGCUNIDF1);VM;LINUX;Redhat_7.3;Hors Prod;DEV;ARGENT;0.50;6.00;77.50;0.50;6.00;77.50;2.00;;RGCU_OPERATEUR;RGCU opérateur;Actif
13794;SLD02897;RGCUCOEUR;RGCU Cœur (RGCUCOEUR);VM;LINUX;Redhat_7.3;Hors Prod;DEV;ARGENT;0.50;6.00;97.50;0.50;6.00;97.50;2.00;;RGCU_OPERATEUR;RGCU opérateur;Actif
13794;SLD02897;RGCUNIDF1;RGCU Assurés Non identifiés F1 (RGCUNIDF1);VM;LINUX;Redhat_7.3;Hors Prod;DEV;ARGENT;0.50;6.00;97.50;0.50;6.00;97.50;2.00;;RGCU_OPERATEUR;RGCU opérateur;Actif
13565;SLD02898;RGCUCOEUR;RGCU Cœur (RGCUCOEUR);VM;LINUX;Redhat_7.3;Hors Prod;DEV;ARGENT;0.50;6.00;87.50;0.50;6.00;87.50;2.00;;RGCU_OPERATEUR;RGCU opérateur;Actif
13565;SLD02898;RGCUNIDF1;RGCU Assurés Non identifiés F1 (RGCUNIDF1);VM;LINUX;Redhat_7.3;Hors Prod;DEV;ARGENT;0.50;6.00;87.50;0.50;6.00;87.50;2.00;;RGCU_OPERATEUR;RGCU opérateur;Actif
13786;SLD02902;RGCUCOEUR;RGCU Cœur (RGCUCOEUR);VM;LINUX;CentOS_7.3;Hors Prod;DEV;ARGENT;1.00;2.00;61.00;1.00;2.00;61.00;1.50;;RGCU_OPERATEUR;RGCU opérateur;Actif
13772;SLD02968;;;VM;LINUX;CentOS_7.3;Hors Prod;DEV;ARGENT;2.00;2.00;45.00;2.00;2.00;45.00;2.50;;;;Actif
12971;SLD03006;;;VM;LINUX;CentOS_6.4;Hors Prod;DEV;ARGENT;1.00;8.00;55.00;1.00;8.00;55.00;3.00;;;;Actif
12925;SLD03007;;;VM;LINUX;CentOS_6.4;Hors Prod;DEV;ARGENT;1.00;8.00;55.00;1.00;8.00;55.00;3.00;;;;Actif
12549;SLD03008;PUBSERVICE;Portail de services (PUB) (PUBSERVICE);VM;LINUX;CentOS_7.3;Hors Prod;DEV;ARGENT;1.00;8.00;58.00;1.00;8.00;58.00;3.00;;PUB;PUB;Actif
9991;SLD03106;RGCUCOEUR;RGCU Cœur (RGCUCOEUR);VM;LINUX;CentOS_7.3;Hors Prod;DEV;ARGENT;4.00;4.00;35.00;4.00;4.00;35.00;5.00;;RGCU_OPERATEUR;RGCU opérateur;Actif
12875;SLD03122;NEXTGEN;NEXTGEN (NEXTGEN);VM;LINUX;CentOS_7Server;Hors Prod;DEV;ARGENT;2.00;8.00;90.00;2.00;8.00;90.00;4.00;;STI_OUTILS_PROD;STI-Outils PROD;Actif
13784;SLD03128;RGCUCOEUR;RGCU Cœur (RGCUCOEUR);VM;LINUX;Redhat_7.3;Hors Prod;DEV;ARGENT;1.00;12.00;78.00;1.00;12.00;78.00;4.00;;RGCU_OPERATEUR;RGCU opérateur;Actif
